belong,title,url,category,sub_category
Best Seller, Maternity,https://www.amazon.com/Best-Sellers-Plus-Size-Maternity-Clothing/zgbs/fashion/5605409011/ref=zg_bs_nav_4_7581677011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size"
Best Seller, Socks & Hosiery,https://www.amazon.com/Best-Sellers-Womens-Petite-Socks-Hosiery/zgbs/fashion/6114090011/ref=zg_bs_nav_4_7581676011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite"
Best Seller, Clothing Sets,https://www.amazon.com/Best-Sellers-Maternity-Clothing-Sets/zgbs/fashion/5674523011/ref=zg_bs_nav_4_7581675011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Maternity"
Best Seller, Socks & Hosiery,https://www.amazon.com/Best-Sellers-Juniors-Socks-Hosiery/zgbs/fashion/9650243011/ref=zg_bs_nav_4_7581674011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors"
Best Seller, Suits & Blazers,https://www.amazon.com/Best-Sellers-Juniors-Suits-Blazers/zgbs/fashion/9650252011/ref=zg_bs_nav_4_7581674011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors"
Best Seller, Accessories,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Accessories/zgbs/fashion/11300729011/ref=zg_bs_nav_4_11300394011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer"
Best Seller,Coin Purses & Pouches,https://www.amazon.com/Best-Sellers-Womens-Coin-Purses-Pouches/zgbs/fashion/2475880011/ref=zg_bs_nav_4_7072326011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Wallets, Card Cases & Money Organizers"
Best Seller,Checkbook Covers,https://www.amazon.com/Best-Sellers-Womens-Checkbook-Covers/zgbs/fashion/3420361011/ref=zg_bs_nav_4_7072326011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Wallets, Card Cases & Money Organizers"
Best Seller,Handbag Organizers,https://www.amazon.com/Best-Sellers-Womens-Handbag-Organizers/zgbs/fashion/3420366011/ref=zg_bs_nav_4_7072327011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Handbag Accessories"
Best Seller,Visors,https://www.amazon.com/Best-Sellers-Womens-Visors/zgbs/fashion/2474983011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Sun Hats,https://www.amazon.com/Best-Sellers-Womens-Sun-Hats/zgbs/fashion/2474982011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Skullies & Beanies,https://www.amazon.com/Best-Sellers-Womens-Skullies-Beanies/zgbs/fashion/2474981011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Rain Hats,https://www.amazon.com/Best-Sellers-Womens-Rain-Hats/zgbs/fashion/2578671011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,No Show & Liner Socks,https://www.amazon.com/Best-Sellers-Womens-No-Show-Liner-Socks/zgbs/fashion/2376200011/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Socks & Hosiery"
Best Seller,Newsboy Caps,https://www.amazon.com/Best-Sellers-Womens-Newsboy-Caps/zgbs/fashion/2474980011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Uniform Dress Shoes,https://www.amazon.com/Best-Sellers-Womens-Uniform-Dress-Shoes/zgbs/fashion/6796868011/ref=zg_bs_nav_4_679442011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shoes/Work & Safety"
Best Seller,Military & Tactical,https://www.amazon.com/Best-Sellers-Womens-Military-Tactical-Boots/zgbs/fashion/6796867011/ref=zg_bs_nav_4_679442011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shoes/Work & Safety"
Best Seller, Intimates,https://www.amazon.com/Best-Sellers-Plus-Size-Maternity-Intimate-Apparel/zgbs/fashion/5605467011/ref=zg_bs_nav_5_5605409011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size/Maternity"
Best Seller,Skirt Sets,https://www.amazon.com/Best-Sellers-Maternity-Skirt-Sets/zgbs/fashion/5674526011/ref=zg_bs_nav_5_5674523011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Maternity/Clothing Sets"
